datum	Station	PH	EC	NA	MG	CA	F	CL	NO3	SO4	PO4P	CACO3	Si	NH4	TDS	NH3(ug/l)
05.07.06	X3H006Q01	7.2	25	15	10	12	0.26	29	0.04	5	0.016			0.05	162.5	1.90
05.07.20	X3H006Q01	7.8	24	15	9	10	0.26	23	0.04	2	0.015			0.02	156	0.76
05.08.03	X3H006Q01	7.7	22	14	8	10	0.24	24	0.04	4.5	0.018			0.02	143	0.76
05.08.17	X3H006Q01	7.9	24	16	10	12	0.25	26	0.04	2	0.023			0.02	156	0.76
05.08.31	X3H006Q01	7.1	25	15	11	11	0.25	26	0.04	2	0.034			0.065	162.5	2.47
05.08.14	X3H006Q01	8	20	13	8	10	0.22	20	0.04	2	0.019			0.02	130	0.76
05.09.28	X3H006Q01	7.6	20	13	9	10	0.227	20	0.04	5	0.023			0.02	130	0.76
05.10.12	X3H006Q01	7.7	18	12	7	8	0.2	18	0.04	2	0.018			0.02	117	0.76
05.10.26	X3H006Q01	8	21	13	8	10	0.28	21	0.04	5	0.02			0.06	136.5	2.28
05.11.09	X3H006Q01	7.5	22	13	9	11	0.23	24	0.04	5	0.02			0.05	143	1.90
05.11.23	X3H006Q01	7.8	25	16	10	12	0.228	28	0.04	7	0.01			0.02	162.5	0.76
05.12.07	X3H006Q01	7.5	27	17	12	15	0.21	31	0.04	6	0.03			0.044	175.5	1.67
06.01.04	X3H006Q01	8	25	16	10	13	0.18	28	0.04	7	0.02			0.02	162.5	0.76
06.01.18	X3H006Q01	7.7	23	16	7	9	0.23	25	0.7	13	0.021			0.07	149.5	2.66
06.02.01	X3H006Q01	7.6	19	15	6	9	0.22	20	0.36	12	0.04			0.02	123.5	0.76
06.03.01	X3H006Q01	7.2	11	9	3	5	0.13	11	0.4	8	0.02			0.02	71.5	0.76
06.03.15	X3H006Q01	7.7	19	17	4	8	0.15	17	0.3	7	0.04			0.02	123.5	0.76
06.03.29	X3H006Q01	7.3	12	10	4	5	0.15	11	0.5	7	0.02			0.02	78	0.76
06.04.12	X3H006Q01	7.6	15	11	5	7	0.18	13	0.45	8	0.024			0.08	97.5	3.04
06.05.10	X3H006Q01	7.2	14	10	5	6	0.18	15	0.4	8	0.03			0.2	91	7.60
06.05.24	X3H006Q01	7	19	13	7	7	0.17	15	0.58	6	0.02			0.1	123.5	3.80
06.07.05	X3H006Q01	7.9	20	12	7	8	0.33	19	0.5	7	0.033			0.06	130	2.28
06.07.18	X3H006Q01	7.1	18	12	7	8	0.4	19	0.4	7	0.1			0.1	117	3.80
06.08.02	X3H006Q01	7.8	20	13	8	9	0.2	20	0.38	5	0.028			0.08	130	3.04
06.08.15	X3H006Q01	7.5	21	15	9	10	0.19	21	0.04	8	0.016			0.02	136.5	0.76
06.09.12	X3H006Q01	7.9	20	13	7	9	0.23	19	0.21	2	0.024			0.02	130	0.76
06.09.27	X3H006Q01	8	21	14	9	11	0.26	20	0.16	6	0.065			0.02	136.5	0.76
06.10.10	X3H006Q01	7.9	21	13	8	10	0.24	22	0.17	5	0.034			0.09	136.5	3.42
06.10.25	X3H006Q01	8.2	22	14	9	11	0.25	24	0.13	5	0.025			0.08	143	3.04
06.11.22	X3H006Q01	7.9	20	13	7	9	0.19	22	0.46	9	0.017			0.02	130	0.76
06.12.05	X3H006Q01	7.9	23	15	9	11	0.24	24	0.17	8	0.027			0.05	149.5	1.90
07.01.17	X3H006Q01	8	22	16	9	11	0.33	23	0.4	9	0.03			0.08	143	3.04
07.02.14	X3H006Q01	7.9	24	16	9	11	0.3	24	0.15	4	0.026			0.08	156	3.04
07.03.13	X3H006Q01	8	22	16	10	11	0.29	26	0.12	2	0.013			0.124	143	4.71
07.03.27	X3H006Q01	7.9	25	15	12	12	0.24	26	0.096	5	0.017			0.145	162.5	5.51
07.04.11	X3H006Q01	7.9	22	15	9	12	0.24	27	0.04	9	0.027			0.069	143	2.62
07.05.09	X3H006Q01	8	23	16	10	11	0.26	26	0.27	5	0.022			0.076	149.5	2.89
07.06.06	X3H006Q01	7.7	27	16	11	12	0.25	28	0.32	10	0.07			0.1	175.5	3.80
07.07.04	X3H006Q01	8	27	16	11	12	0.22	28	0.3	4	0.026			0.078	175.5	2.96
07.08.29	X3H006Q01	7.8	24	16	10	12	0.23	27	0.158	13	0.138			0.085	156	3.23
07.09.26	X3H006Q01	7.9	22	15	8	10	0.23	24	0.084	11	0.025			0.097	143	3.69
07.10.23	X3H006Q01	7.9	24	21	9	11	0.24	27	0.116	8	0.02			0.087	156	3.31
07.11.21	X3H006Q01	7.7	25	17	10	11	0.26	26	0.04	5	0.5			0.083	162.5	3.15
05.02.28	X3H012Q01	8	29	21	12	13	0.32	18	0.07	4	0.033			0.03	188.5	1.14
05.04.28	X3H012Q01	7.6	10	5	4	8	0.05	5	0.22	2	0.021			0.02	65	0.76
05.07.14	X3H012Q01	7.6	13	4	5	10	0.11	7	0.25	4	0.03			0.02	84.5	0.76
05.08.28	X3H012Q01	8.1	14	5	6	10	0.2	8	0.36	2	0.021			0.02	91	0.76
06.05.28	X3H012Q01	7.7	28	18	14	13	0.4	17	0.1	9	0.02			0.02	182	0.76
06.08.29	X3H012Q01	7.9	17	8	7	9	0.19	14	0.04	2	0.019			0.09	110.5	3.42
06.10.02	X3H012Q01	8.4	81	89	30	28	0.328	139	0.32	25	0.022			0.02	526.5	0.76
07.03.23	X3H012Q01	7.4	11	7	5	2	0.11	8	0.04	6	0.006			0.132	71.5	5.02
07.10.24	X3H012Q01	7.2	14	7	5	8	0.12	6	0.04	7	0.129			0.07	91	2.66
07.11.20	X3H012Q01	7.8	12	7	5	7	0.14	7	0.19	6	0.031			0.096	78	3.65
05.01.04	X3H015Q01	19	7.8	11	7	12	0.15	14	0.07	6	0.05			0.03	123.5	
05.01.18	X3H015Q01	21	7.6	11	7	15	0.16	15	0.07	3	0.014			0.04	136.5	
05.02.01	X3H015Q01	16	7.3	10	5	10	0.2	13	0.08	5	0.02			0.03	104	
05.02.16	X3H015Q01	14	7.8	7	5	9	0.13	10	0.07	9	0.02			0.04	91	
05.03.07	X3H015Q01	18	7.8	9	6	12	0.16	10	0.08	3	0.03			0.03	117
05.03.15	X3H015Q01	15	7.4	9	6	9	0.21	12	0.1	3	0.025			0.06	97.5
05.03.29	X3H015Q01	12	7.4	6	5	8	0.13	8	0.16	6	0.03			0.07	78
05.04.12	X3H015Q01	12	7.9	7	5	9	0.13	9	0.16	5	0.017			0.07	78
05.04.26	X3H015Q01	46	8.3	34	21	24	0.3	31	0.36	30	0.029			0.02	299
05.05.10	X3H015Q01	82	8.2	67	37	50	0.44	81	0.04	18	0.022			0.02	533
05.05.24	X3H015Q01	16	7.4	7	6	10	0.13	10	0.04	2	0.03			0.05	104
05.06.07	X3H015Q01	56	8.4	49	26	24	0.32	41	0.04	34	0.034			0.02	364
05.06.21	X3H015Q01	17	7.7	8	7	12	0.13	10	0.04	4	0.02			0.02	110.5
05.07.06	X3H015Q01	63	8.3	58	30	29	0.34	45	0.04	37	0.028			0.02	409.5
05.07.20	X3H015Q01	24	7.7	16	9	10	0.26	22	0.04	5	0.024			0.03	156
05.08.02	X3H015Q01	65	8.5	67	27	25	0.34	52	0.04	40	0.02			0.02	422.5
05.08.16	X3H015Q01	60	8.4	57	27	27	0.32	47	0.04	39	0.021			0.02	390
05.08.30	X3H015Q01	65	8.5	63	30	28	0.33	53	0.04	37	0.03			0.06	422.5
05.09.27	X3H015Q01	62	8.2	61	29	24	0.34	55	0.04	38	0.021			0.02	403
05.10.12	X3H015Q01	22	7.6	11	10	14	0.16	14	0.04	7	0.024			0.07	143
05.10.25	X3H015Q01	65	8.6	65	29	25	0.36	58	0.04	32	0.028			0.057	422.5
05.11.09	X3H015Q01	46	7.8	37	16	19	0.29	40	0.7	41	0.016			0.02	299
05.11.22	X3H015Q01	63	8.2	56	26	30	0.36	57	0.46	38	0.045			0.02	409.5
05.12.06	X3H015Q01	61	8.3	59	26	28	0.38	57	0.15	45	0.026			0.059	396.5
05.12.28	X3H015Q01	16	7.8	8	6	9	0.13	10	0.12	2	0.036			0.064	104
05.01.03	X3H015Q01	52	8.2	41	24	25	0.3	41	0.2	47	0.041			0.02	338
06.01.18	X3H015Q01	19	7.7	11	6	11	0.14	16	0.12	6	0.028			0.065	123.5
06.01.31	X3H015Q01	14	7.4	8	5	8	0.14	11	0.19	8	0.044			0.075	91
06.02.14	X3H015Q01	18	7.3	11	6	9	0.22	13	0.15	2	0.037			0.101	117
06.02.28	X3H015Q01	15	7.6	10	4	7	0.16	13	0.04	15	0.05			0.02	97.5
06.03.14	X3H015Q01	30	7.6	20	11	17	0.21	18	0.46	21	0.021			0.02	195
06.03.27	X3H015Q01	15	7.8	11	5	8	0.15	12	0.24	11	0.017			0.02	97.5
06.03.29	X3H015Q01	19	7.7	12	5	8	0.15	13	0.4	12	0.06			0.02	123.5
06.04.11	X3H015Q01	17	7.7	10	6	9	0.35	13	0.35	6	0.027			0.055	110.5
06.04.25	X3H015Q01	17	7.7	10	6	9	0.18	13	0.29	13	0.019			0.02	110.5
06.05.10	X3H015Q01	16	7.8	9	6	9	0.17	12	0.24	11	0.018			0.02	104
06.05.23	X3H015Q01	41	8.4	30	20	21	0.17	27	0.64	41	0.046			0.044	266.5
06.06.06	X3H015Q01	17	7.9	10	6	9	0.2	11	0.1	10	0.015			0.02	110.5
06.06.21	X3H015Q01	17	7.9	10	6	10	0.25	12	0.14	6	0.024			0.076	110.5
06.07.05	X3H015Q01	18	7.9	11	6	10	0.14	12	0.1	5	0.02			0.02	117
06.07.18	X3H015Q01	18	7.6	10	8	11	0.13	13	0.12	7	0.024			0.06	117
06.08.28	X3H015Q01	20	8	11	8	11	0.17	13	0.11	9	0.006			0.042	130
06.10.10	X3H015Q01	19	7.9	11	9	10	0.11	13	0.04	9	0.023			0.05	123.5
06.11.07	X3H015Q01	18	7.7	10	9	11	0.19	12	0.04	7	0.006			0.02	117
06.11.21	X3H015Q01	18	7.8	13	5	8	0.16	17	0.45	17	0.022			0.02	117
06.12.04	X3H015Q01	16	7.8	8	7	10	0.14	9	0.09	2	0.025			0.102	104
06.12.20	X3H015Q01	17	7.8	11	8	8	0.15	13	0.1	10	0.02			0.1	110.5
07.01.16	X3H015Q01	18	7.7	12	6	10	0.17	14	0.178	4	0.049			0.055	117
07.02.02	X3H015Q01	16	7.7	10	7	9	0.13	13	0.04	7	0.013			0.049	104
07.02.13	X3H015Q01	15	7.8	11	7	8	0.14	9	0.04	7.3	0.016			0.041	97.5
07.02.28	X3H015Q01	15	7.8	9	6	8	0.12	11	0.11	6.5	0.021			0.183	97.5
07.03.13	X3H015Q01	14.8	7.9	8	6	7	0.12	9	0.226	2	0.026			0.125	96.2
07.03.22	X3H015Q01	16	8.3	9	7	8	0.12	10	0.17	5	0.026			0.196	104
07.03.27	X3H015Q01	15	7.9	8	7	8	0.12	10	0.366	2	0.037			0.155	97.5
07.04.11	X3H015Q01	16	8	10	6.5	9	0.12	13	0.233	4	0.026			0.122	104
07.04.25	X3H015Q01	17	8	13	6.8	10	0.12	13	0.19	2	0.036			0.063	110.5
07.05.09	X3H015Q01	20	8	11	7	11	0.19	12.6	0.145	5	0.026			0.082	130
07.05.23	X3H015Q01	18	8	10	8	11	0.13	12	0.113	5	0.028			0.107	117
07.06.05	X3H015Q01	18	8.2	10	7	12	0.12	10	0.04	2	0.018			0.106	117
07.06.20	X3H015Q01	16	7.5	8	8	9	0.16	8	0.04	6	0.006			0.071	104
07.07.03	X3H015Q01	18	8	9	6	11	0.11	11	0.093	6	0.006			0.093	117
07.07.18	X3H015Q01	21	8	9	8	12	0.12	13	0.04	5	0.023			0.086	136.5
07.08.15	X3H015Q01	22	8.2	10	9	12	0.12	12	0.082	6	0.025			0.082	143
07.08.28	X3H015Q01	19	8	11	9	11.8	0.18	20	0.04	13	0.036			0.08	123.5
07.09.12	X3H015Q01	20	7.8	10	9	12	0.16	13	0.315	16	0.153			0.079	130
07.09.25	X3H015Q01	19	7.9	12	8	10	0.15	12	0.04	2	0.036			0.078	123.5
07.10.10	X3H015Q01	19	8	12	9	11	0.15	16	0.147	7	0.037			0.152	123.5
07.10.23	X3H015Q01	18.9	7.3	14	8	9	0.14	13	0.04	6	0.025			0.096	122.85
07.11.07	X3H015Q01	16	7.7	9	7	9	0.14	13	0.098	6	0.021			0.172	104
